case_id,implementation,episode,primary_entrypoint,original_raw_return,original_decode_error,frozen_trace_return,abi,corrected_full_O1_tuple,corrected_price_component,correction,trace_path,trace_sha256,matching_raw_rpc_paths
AA2,AURIGAMI_REPORTER_AGGREGATION_FALLBACK,A_A,getUnderlyingPrice(auUSDC),0x0x000000000000000000000000000000000000000c9f2c9cd04674edea40000000,"{""decode_error"":""TypeError: invalid BytesLike value (argument=\""value\"", value=\""0x0x000000000000000000000000000000000000000c9f2c9cd04674edea40000000\"", code=INVALID_ARGUMENT, version=6.15.0)"",""raw"":""0x0x000000000000000000000000000000000000000c9f2c9cd04674edea40000000""}",0x000000000000000000000000000000000000000c9f2c9cd04674edea40000000,(uint256),"[""1000000000000000000000000000000""]",1000000000000000000000000000000,DERIVED_ANALYSIS_CORRECTION_DUPLICATE_HEX_PREFIX,<PROJECT_ROOT>\post_review_generalization_expansion_v1\06_g6_frozen_formal_execution\traces\AA2.json,b5188d24bfa5aaa9695a77dd596ba3b3c307a248d2a6571f9a648c0824f89dce,"[""<PROJECT_ROOT>\\post_review_generalization_expansion_v1\\06_g6_frozen_formal_execution\\raw\\000175_A_A_AA2_debug_traceCall.json"",""<PROJECT_ROOT>\\post_review_generalization_expansion_v1\\06_g6_frozen_formal_execution\\raw\\000197_A_A_AA3_debug_traceCall.json"",""<PROJECT_ROOT>\\post_review_generalization_expansion_v1\\06_g6_frozen_formal_execution\\raw\\000275_A_B_AB1_debug_traceCall.json""]"
AA3,AURIGAMI_REPORTER_AGGREGATION_FALLBACK,A_A,getUnderlyingPrice(auUSDC),0x0x000000000000000000000000000000000000000c9f2c9cd04674edea40000000,"{""decode_error"":""TypeError: invalid BytesLike value (argument=\""value\"", value=\""0x0x000000000000000000000000000000000000000c9f2c9cd04674edea40000000\"", code=INVALID_ARGUMENT, version=6.15.0)"",""raw"":""0x0x000000000000000000000000000000000000000c9f2c9cd04674edea40000000""}",0x000000000000000000000000000000000000000c9f2c9cd04674edea40000000,(uint256),"[""1000000000000000000000000000000""]",1000000000000000000000000000000,DERIVED_ANALYSIS_CORRECTION_DUPLICATE_HEX_PREFIX,<PROJECT_ROOT>\post_review_generalization_expansion_v1\06_g6_frozen_formal_execution\traces\AA3.json,b5188d24bfa5aaa9695a77dd596ba3b3c307a248d2a6571f9a648c0824f89dce,"[""<PROJECT_ROOT>\\post_review_generalization_expansion_v1\\06_g6_frozen_formal_execution\\raw\\000175_A_A_AA2_debug_traceCall.json"",""<PROJECT_ROOT>\\post_review_generalization_expansion_v1\\06_g6_frozen_formal_execution\\raw\\000197_A_A_AA3_debug_traceCall.json"",""<PROJECT_ROOT>\\post_review_generalization_expansion_v1\\06_g6_frozen_formal_execution\\raw\\000275_A_B_AB1_debug_traceCall.json""]"
AA4,AURIGAMI_REPORTER_AGGREGATION_FALLBACK,A_A,getUnderlyingPrice(auUSDC),0x0x000000000000000000000000000000000000000c9f2c9cd04674edea40000000,"{""decode_error"":""TypeError: invalid BytesLike value (argument=\""value\"", value=\""0x0x000000000000000000000000000000000000000c9f2c9cd04674edea40000000\"", code=INVALID_ARGUMENT, version=6.15.0)"",""raw"":""0x0x000000000000000000000000000000000000000c9f2c9cd04674edea40000000""}",0x000000000000000000000000000000000000000c9f2c9cd04674edea40000000,(uint256),"[""1000000000000000000000000000000""]",1000000000000000000000000000000,DERIVED_ANALYSIS_CORRECTION_DUPLICATE_HEX_PREFIX,<PROJECT_ROOT>\post_review_generalization_expansion_v1\06_g6_frozen_formal_execution\traces\AA4.json,31fe95b7571235537f16afd9f6b2696ccdb5c076ce6aabc1810636aefe29aa2d,"[""<PROJECT_ROOT>\\post_review_generalization_expansion_v1\\06_g6_frozen_formal_execution\\raw\\000131_A_A_AA0_debug_traceCall.json"",""<PROJECT_ROOT>\\post_review_generalization_expansion_v1\\06_g6_frozen_formal_execution\\raw\\000153_A_A_AA1_debug_traceCall.json"",""<PROJECT_ROOT>\\post_review_generalization_expansion_v1\\06_g6_frozen_formal_execution\\raw\\000219_A_A_AA4_debug_traceCall.json"",""<PROJECT_ROOT>\\post_review_generalization_expansion_v1\\06_g6_frozen_formal_execution\\raw\\000300_A_B_AB2_debug_traceCall.json""]"
AB0,AURIGAMI_REPORTER_AGGREGATION_FALLBACK,A_B,getUnderlyingPrice(auUSDC),0x0x000000000000000000000000000000000000000f2568bc2d21591d7f80000000,"{""decode_error"":""TypeError: invalid BytesLike value (argument=\""value\"", value=\""0x0x000000000000000000000000000000000000000f2568bc2d21591d7f80000000\"", code=INVALID_ARGUMENT, version=6.15.0)"",""raw"":""0x0x000000000000000000000000000000000000000f2568bc2d21591d7f80000000""}",0x000000000000000000000000000000000000000f2568bc2d21591d7f80000000,(uint256),"[""1200000000000000000000000000000""]",1200000000000000000000000000000,DERIVED_ANALYSIS_CORRECTION_DUPLICATE_HEX_PREFIX,<PROJECT_ROOT>\post_review_generalization_expansion_v1\06_g6_frozen_formal_execution\traces\AB0.json,ab89a0cb44340b16f07eac96ad302226697ac4ebb05668ee6392389584c32e5d,"[""<PROJECT_ROOT>\\post_review_generalization_expansion_v1\\06_g6_frozen_formal_execution\\raw\\000253_A_B_AB0_debug_traceCall.json""]"
AB1,AURIGAMI_REPORTER_AGGREGATION_FALLBACK,A_B,getUnderlyingPrice(auUSDC),0x0x000000000000000000000000000000000000000c9f2c9cd04674edea40000000,"{""decode_error"":""TypeError: invalid BytesLike value (argument=\""value\"", value=\""0x0x000000000000000000000000000000000000000c9f2c9cd04674edea40000000\"", code=INVALID_ARGUMENT, version=6.15.0)"",""raw"":""0x0x000000000000000000000000000000000000000c9f2c9cd04674edea40000000""}",0x000000000000000000000000000000000000000c9f2c9cd04674edea40000000,(uint256),"[""1000000000000000000000000000000""]",1000000000000000000000000000000,DERIVED_ANALYSIS_CORRECTION_DUPLICATE_HEX_PREFIX,<PROJECT_ROOT>\post_review_generalization_expansion_v1\06_g6_frozen_formal_execution\traces\AB1.json,b5188d24bfa5aaa9695a77dd596ba3b3c307a248d2a6571f9a648c0824f89dce,"[""<PROJECT_ROOT>\\post_review_generalization_expansion_v1\\06_g6_frozen_formal_execution\\raw\\000175_A_A_AA2_debug_traceCall.json"",""<PROJECT_ROOT>\\post_review_generalization_expansion_v1\\06_g6_frozen_formal_execution\\raw\\000197_A_A_AA3_debug_traceCall.json"",""<PROJECT_ROOT>\\post_review_generalization_expansion_v1\\06_g6_frozen_formal_execution\\raw\\000275_A_B_AB1_debug_traceCall.json""]"
AB2,AURIGAMI_REPORTER_AGGREGATION_FALLBACK,A_B,getUnderlyingPrice(auUSDC),0x0x000000000000000000000000000000000000000c9f2c9cd04674edea40000000,"{""decode_error"":""TypeError: invalid BytesLike value (argument=\""value\"", value=\""0x0x000000000000000000000000000000000000000c9f2c9cd04674edea40000000\"", code=INVALID_ARGUMENT, version=6.15.0)"",""raw"":""0x0x000000000000000000000000000000000000000c9f2c9cd04674edea40000000""}",0x000000000000000000000000000000000000000c9f2c9cd04674edea40000000,(uint256),"[""1000000000000000000000000000000""]",1000000000000000000000000000000,DERIVED_ANALYSIS_CORRECTION_DUPLICATE_HEX_PREFIX,<PROJECT_ROOT>\post_review_generalization_expansion_v1\06_g6_frozen_formal_execution\traces\AB2.json,31fe95b7571235537f16afd9f6b2696ccdb5c076ce6aabc1810636aefe29aa2d,"[""<PROJECT_ROOT>\\post_review_generalization_expansion_v1\\06_g6_frozen_formal_execution\\raw\\000131_A_A_AA0_debug_traceCall.json"",""<PROJECT_ROOT>\\post_review_generalization_expansion_v1\\06_g6_frozen_formal_execution\\raw\\000153_A_A_AA1_debug_traceCall.json"",""<PROJECT_ROOT>\\post_review_generalization_expansion_v1\\06_g6_frozen_formal_execution\\raw\\000219_A_A_AA4_debug_traceCall.json"",""<PROJECT_ROOT>\\post_review_generalization_expansion_v1\\06_g6_frozen_formal_execution\\raw\\000300_A_B_AB2_debug_traceCall.json""]"
FC0,FATHOM_DELAYED_PRICE_FEED,F_C,peekPrice(),0x0x00000000000000000000000000000000000000000000000000633fdc168b8b670000000000000000000000000000000000000000000000000000000000000001,"""NA""",0x00000000000000000000000000000000000000000000000000633fdc168b8b670000000000000000000000000000000000000000000000000000000000000001,"(uint256,bool)","[""27936237197953895"",true]",27936237197953895,DERIVED_ANALYSIS_CORRECTION_DUPLICATE_HEX_PREFIX,<PROJECT_ROOT>\post_review_generalization_expansion_v1\06_g6_frozen_formal_execution\traces\FC0.json,9d0458a2d753d5c34b051586e916bf638c63d973165c4f451a2cdad302d37fd8,"[""<PROJECT_ROOT>\\post_review_generalization_expansion_v1\\06_g6_frozen_formal_execution\\raw\\000563_F_C_FC0_debug_traceTransaction.json""]"
FC1,FATHOM_DELAYED_PRICE_FEED,F_C,peekPrice(),0x0x00000000000000000000000000000000000000000000000000633fdc168b8b670000000000000000000000000000000000000000000000000000000000000001,"""NA""",0x00000000000000000000000000000000000000000000000000633fdc168b8b670000000000000000000000000000000000000000000000000000000000000001,"(uint256,bool)","[""27936237197953895"",true]",27936237197953895,DERIVED_ANALYSIS_CORRECTION_DUPLICATE_HEX_PREFIX,<PROJECT_ROOT>\post_review_generalization_expansion_v1\06_g6_frozen_formal_execution\traces\FC1.json,44d3e54cc080e287868dfc0e2321dd720d1beb8bbabd993b5cc72057abcef549,"[""<PROJECT_ROOT>\\post_review_generalization_expansion_v1\\06_g6_frozen_formal_execution\\raw\\000588_F_C_FC1_debug_traceTransaction.json""]"
FC2,FATHOM_DELAYED_PRICE_FEED,F_C,readPrice(),0x0x00000000000000000000000000000000000000000000000000633fdc168b8b67,"{""decode_error"":""TypeError: invalid BytesLike value (argument=\""value\"", value=\""0x0x00000000000000000000000000000000000000000000000000633fdc168b8b67\"", code=INVALID_ARGUMENT, version=6.15.0)"",""raw"":""0x0x00000000000000000000000000000000000000000000000000633fdc168b8b67""}",0x00000000000000000000000000000000000000000000000000633fdc168b8b67,(uint256),"[""27936237197953895""]",27936237197953895,DERIVED_ANALYSIS_CORRECTION_DUPLICATE_HEX_PREFIX,<PROJECT_ROOT>\post_review_generalization_expansion_v1\06_g6_frozen_formal_execution\traces\FC2.json,e6622caa60af5f7e74dc704d4a53f049af8696073cb28c8f0b415752cc149431,"[""<PROJECT_ROOT>\\post_review_generalization_expansion_v1\\06_g6_frozen_formal_execution\\raw\\000612_F_C_FC2_debug_traceCall.json"",""<PROJECT_ROOT>\\post_review_generalization_expansion_v1\\06_g6_frozen_formal_execution\\raw\\000637_F_C_FC3_debug_traceCall.json""]"
FC3,FATHOM_DELAYED_PRICE_FEED,F_C,readPrice(),0x0x00000000000000000000000000000000000000000000000000633fdc168b8b67,"{""decode_error"":""TypeError: invalid BytesLike value (argument=\""value\"", value=\""0x0x00000000000000000000000000000000000000000000000000633fdc168b8b67\"", code=INVALID_ARGUMENT, version=6.15.0)"",""raw"":""0x0x00000000000000000000000000000000000000000000000000633fdc168b8b67""}",0x00000000000000000000000000000000000000000000000000633fdc168b8b67,(uint256),"[""27936237197953895""]",27936237197953895,DERIVED_ANALYSIS_CORRECTION_DUPLICATE_HEX_PREFIX,<PROJECT_ROOT>\post_review_generalization_expansion_v1\06_g6_frozen_formal_execution\traces\FC3.json,e6622caa60af5f7e74dc704d4a53f049af8696073cb28c8f0b415752cc149431,"[""<PROJECT_ROOT>\\post_review_generalization_expansion_v1\\06_g6_frozen_formal_execution\\raw\\000612_F_C_FC2_debug_traceCall.json"",""<PROJECT_ROOT>\\post_review_generalization_expansion_v1\\06_g6_frozen_formal_execution\\raw\\000637_F_C_FC3_debug_traceCall.json""]"
