path,evidence_level,purpose,original_sha256,transformation,source_record_name
trace_archive/AB0.json.gz,DIRECT_OBSERVATION,"Original trace bytes, gzip lossless; decompress for original hash",ab89a0cb44340b16f07eac96ad302226697ac4ebb05668ee6392389584c32e5d,gzip only; decompressed bytes unchanged,AB0.json
execution_records/AB1.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Retained execution record; original erroneous return preserved,f9c66997fc2ea3937675d3bbdad51a3f2de39521b16cd0b2ec2ee4d9a37e2e84,Personal/infrastructure locators removed; scientific values retained,AB1.json
trace_archive/AB1.json.gz,DIRECT_OBSERVATION,"Original trace bytes, gzip lossless; decompress for original hash",b5188d24bfa5aaa9695a77dd596ba3b3c307a248d2a6571f9a648c0824f89dce,gzip only; decompressed bytes unchanged,AB1.json
execution_records/AB2.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Retained execution record; original erroneous return preserved,8873bfca69637adbd25ac66da4a109f523d5aab344eccdb85618cdbf706009b6,Personal/infrastructure locators removed; scientific values retained,AB2.json
trace_archive/AB2.json.gz,DIRECT_OBSERVATION,"Original trace bytes, gzip lossless; decompress for original hash",31fe95b7571235537f16afd9f6b2696ccdb5c076ce6aabc1810636aefe29aa2d,gzip only; decompressed bytes unchanged,AB2.json
execution_records/FA0.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Retained execution record; original erroneous return preserved,8a8b28a88369aadf3856bcd129909be8521a0640a3ed7a5f7787017f6affed5c,Personal/infrastructure locators removed; scientific values retained,FA0.json
execution_records/FA1.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Retained execution record; original erroneous return preserved,ffb259f4c6a4a3ff536d94e9ac0c7f8b60014e28db8e8b2b014d67878e0626a5,Personal/infrastructure locators removed; scientific values retained,FA1.json
execution_records/FA2.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Retained execution record; original erroneous return preserved,b55f12cb20c2083f1bbf66fa9157d4c3736ab1e6531660b222651c501b0016a4,Personal/infrastructure locators removed; scientific values retained,FA2.json
execution_records/FA3.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Retained execution record; original erroneous return preserved,780740774a1b76fbd2154e4d65a8844b690e7ac1004c999c61f56346bd580bc2,Personal/infrastructure locators removed; scientific values retained,FA3.json
execution_records/FB0.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Retained execution record; original erroneous return preserved,f94efa8fcf0297bb6716e1d0f20510b90b2d9dfb34ad4cb113c2ea151a76ed38,Personal/infrastructure locators removed; scientific values retained,FB0.json
execution_records/FB1.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Retained execution record; original erroneous return preserved,c0aacb53add9cba0a68289b49cf95a3738176f4c7a17478a8a4f14fb37b9bc38,Personal/infrastructure locators removed; scientific values retained,FB1.json
execution_records/FB2.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Retained execution record; original erroneous return preserved,2bceaa8283134ca0037d39abc34f0af123b48cbe8e38b6c766a6242ba0d21540,Personal/infrastructure locators removed; scientific values retained,FB2.json
execution_records/FC0.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Retained execution record; original erroneous return preserved,e6f35c5a598e19b65c0d56205d8bc73af71f88c7e922aefd35ba60dcc712cce9,Personal/infrastructure locators removed; scientific values retained,FC0.json
trace_archive/FC0.json.gz,DIRECT_OBSERVATION,"Original trace bytes, gzip lossless; decompress for original hash",9d0458a2d753d5c34b051586e916bf638c63d973165c4f451a2cdad302d37fd8,gzip only; decompressed bytes unchanged,FC0.json
execution_records/FC1.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Retained execution record; original erroneous return preserved,33f22399f971ce069f0cb978d731245fca4beb022258732e8c110de335afdeea,Personal/infrastructure locators removed; scientific values retained,FC1.json
trace_archive/FC1.json.gz,DIRECT_OBSERVATION,"Original trace bytes, gzip lossless; decompress for original hash",44d3e54cc080e287868dfc0e2321dd720d1beb8bbabd993b5cc72057abcef549,gzip only; decompressed bytes unchanged,FC1.json
execution_records/FC2.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Retained execution record; original erroneous return preserved,52b210785bb5266a207da8da803fb5dc0bb6485e0b2bc1797fd8723e9987cfe9,Personal/infrastructure locators removed; scientific values retained,FC2.json
trace_archive/FC2.json.gz,DIRECT_OBSERVATION,"Original trace bytes, gzip lossless; decompress for original hash",e6622caa60af5f7e74dc704d4a53f049af8696073cb28c8f0b415752cc149431,gzip only; decompressed bytes unchanged,FC2.json
execution_records/FC3.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Retained execution record; original erroneous return preserved,c9ce3b9f0df43fdf263898ec82a85fd336cea5e99815c6cf963a9c02394d5c5a,Personal/infrastructure locators removed; scientific values retained,FC3.json
trace_archive/FC3.json.gz,DIRECT_OBSERVATION,"Original trace bytes, gzip lossless; decompress for original hash",e6622caa60af5f7e74dc704d4a53f049af8696073cb28c8f0b415752cc149431,gzip only; decompressed bytes unchanged,FC3.json
numeric_records/N01.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Original numeric record with only locator/infrastructure redaction,c8bb1ff500f3f837bab7574bbc4173706bcd3c1924d33ec498dc647ba13a1085,Personal/infrastructure locators removed; scientific values retained,T0_8453_0x4687670f5f01716faa382e2356c103bad776752c.json
numeric_records/N02.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Original numeric record with only locator/infrastructure redaction,b09b01f65cc6b3bf88844478628f757ceb32276032e4df96d9f83d689e1c4623,Personal/infrastructure locators removed; scientific values retained,T0_146_0x47ecdd1986d4d729cb2018c47b62b8f007d795d9.json
numeric_records/N03.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Original numeric record with only locator/infrastructure redaction,22a04c87b3b327bcd8a314fe40a5056dd24267b691b76e2787d4c39b811ecae0,Personal/infrastructure locators removed; scientific values retained,T0_42161_0xcec3383ab6633672943117952b9d7c901c725e15.json
numeric_records/N04.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Original numeric record with only locator/infrastructure redaction,49272be12e3a8920f3cc0f3f3b61e58fdf8caf89ae9fd110a5fbff8854c8dc84,Personal/infrastructure locators removed; scientific values retained,T0_43114_0x512935aaf49f89d000aab0d8102c334876942d2c.json
numeric_records/N05.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Original numeric record with only locator/infrastructure redaction,c9983fd7ec59d63fe4aadf41acf834be2473a1168fd9b86a3d4fae380141076c,Personal/infrastructure locators removed; scientific values retained,T0_1_0x33f1e44db47400c9bd6221962712d882adb8ffa6.json
numeric_records/N06.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Original numeric record with only locator/infrastructure redaction,e44a852c69ea3b2de33257c3a67da42cd0e09a4dce118c6fff962768eec36019,Personal/infrastructure locators removed; scientific values retained,T0_1_0x1919de21635276a80aa3384a852df8189e1b7205.json
numeric_records/N07.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Original numeric record with only locator/infrastructure redaction,d66f4bd0a1b4e741353619823c47fbc6b43482c9a1d210e33269f304ceb060c9,Personal/infrastructure locators removed; scientific values retained,T1_8453_0x4687670f5f01716faa382e2356c103bad776752c.json
numeric_records/N08.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Original numeric record with only locator/infrastructure redaction,25363735ff1b60a19e3d660162b9544950dbe42349a4bdacebb07b7c6e276f99,Personal/infrastructure locators removed; scientific values retained,T1_146_0x47ecdd1986d4d729cb2018c47b62b8f007d795d9.json
numeric_records/N09.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Original numeric record with only locator/infrastructure redaction,738859f78bb3cd13f0acc045785d774fc98dcb113cf225d0fdfb75a14cc2c0c8,Personal/infrastructure locators removed; scientific values retained,T1_42161_0xcec3383ab6633672943117952b9d7c901c725e15.json
numeric_records/N10.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Original numeric record with only locator/infrastructure redaction,fd6164271cc1a0b81fc4b6ae30dd38a21867c67be9910b5fb88517f297ecfc58,Personal/infrastructure locators removed; scientific values retained,T1_43114_0x512935aaf49f89d000aab0d8102c334876942d2c.json
numeric_records/N11.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Original numeric record with only locator/infrastructure redaction,fe0d6fe857afb647a785a29ec4a5d278c458f42169bf3202b6774fea69662fd0,Personal/infrastructure locators removed; scientific values retained,T1_1_0x33f1e44db47400c9bd6221962712d882adb8ffa6.json
numeric_records/N12.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Original numeric record with only locator/infrastructure redaction,9084daf35352362e3460a11c8095119bb5281b015471e1d88748a207ccb6fb3b,Personal/infrastructure locators removed; scientific values retained,T1_1_0x1919de21635276a80aa3384a852df8189e1b7205.json
numeric_records/N13.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Original numeric record with only locator/infrastructure redaction,54ed4507b78e66d94c535cb9070d7c8732a6adf1362288c329e47c9eaad3f52c,Personal/infrastructure locators removed; scientific values retained,T2_8453_0x4687670f5f01716faa382e2356c103bad776752c.json
numeric_records/N14.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Original numeric record with only locator/infrastructure redaction,febef071e985119900f26a055c911e3b73c436b866da650b854c272ae891013c,Personal/infrastructure locators removed; scientific values retained,T2_146_0x47ecdd1986d4d729cb2018c47b62b8f007d795d9.json
numeric_records/N15.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Original numeric record with only locator/infrastructure redaction,942222a784abdd9fb635028be96a2983d39d03bb6bd17e19dc833d4022a80b1c,Personal/infrastructure locators removed; scientific values retained,T2_42161_0xcec3383ab6633672943117952b9d7c901c725e15.json
numeric_records/N16.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Original numeric record with only locator/infrastructure redaction,554ce6c5514448ebc15801028dfcd9e719bce1aa4fae9398d1b52e54d7577750,Personal/infrastructure locators removed; scientific values retained,T2_43114_0x512935aaf49f89d000aab0d8102c334876942d2c.json
numeric_records/N17.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Original numeric record with only locator/infrastructure redaction,4c24cb4f09b3a4e4ecc41f7dbc6b729853214b8437e9411dacb41bda5b521c0f,Personal/infrastructure locators removed; scientific values retained,T2_1_0x33f1e44db47400c9bd6221962712d882adb8ffa6.json
numeric_records/N18.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Original numeric record with only locator/infrastructure redaction,83e7b5a4a8a46cf3424e49d146416846d56d7f4f2593a6903b85db70d3ae02ad,Personal/infrastructure locators removed; scientific values retained,T2_1_0x1919de21635276a80aa3384a852df8189e1b7205.json
numeric_observation_table.csv,DERIVED_RESULT,All 18 original numeric rows; reviewer-relative locators added,fb940765bc1aa83736de34d1d21ca6a06bc3abe0d8bdc6bf320aae90501f2574,Locator redaction/addition only,PAPER_NUMERIC_EVIDENCE_DERIVED.csv
policy_original_results.csv,DERIVED_RESULT,All 28 original and derived policy classifications,4047a07e1fcd4bb13c9e45efee4a17a66e7570444b250f286e104becaf138983,Personal/infrastructure locators removed; scientific values retained,FORMAL_POLICY_DIFFERENTIAL_RESULTS_FINAL.csv
policy_records/SF00.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Earlier controlled witness; scientific content retained,ec0ad650790b85c1c81c928c56180dac942b2842a7fc8b33f9744acafbeef3d4,Personal/infrastructure locators removed; scientific values retained,SF00.json
policy_records/SF01.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Earlier controlled witness; scientific content retained,16c71ccebfa0a6312c58ccc0aff0ac93f3d6f0529057ad77ba610f91678d138d,Personal/infrastructure locators removed; scientific values retained,SF01.json
policy_records/SF02.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Earlier controlled witness; scientific content retained,362afc35ea7c68cf278d0c0410a126b0dcac55e0d69e3c2e9ed7f3e3055799f3,Personal/infrastructure locators removed; scientific values retained,SF02.json
policy_records/SF03.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Earlier controlled witness; scientific content retained,a4e1832304d48db05bdf03a9db28a8533457c3d3dc35ec8904604bf70f73fe59,Personal/infrastructure locators removed; scientific values retained,SF03.json
policy_records/SF04.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Earlier controlled witness; scientific content retained,83e13b399cc414855cdb60a5b60358d9a986d9338dd664341cfaa27b524ada5e,Personal/infrastructure locators removed; scientific values retained,SF04.json
policy_records/SF05.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Earlier controlled witness; scientific content retained,be9e8915c890e78f3a3323137265f0e03c93ba1c3adbfa7e44c5b4856c6f56f2,Personal/infrastructure locators removed; scientific values retained,SF05.json
policy_records/SF06.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Earlier controlled witness; scientific content retained,3a506c009fc394ab898bec5d2c2aca282f2a10a074e8ddfab7dde703d51ebea7,Personal/infrastructure locators removed; scientific values retained,SF06.json
policy_records/SF07.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Earlier controlled witness; scientific content retained,17d04704fa29652f99f8c721fbfe828377eb64a9f9d8bcd6f7fceff88e6d4e06,Personal/infrastructure locators removed; scientific values retained,SF07.json
policy_records/NE00.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Earlier controlled witness; scientific content retained,5b061052ebfff720ce997135f4c52aff20f6c8ab944c3ce20865b59d57f687ab,Personal/infrastructure locators removed; scientific values retained,NE00.json
policy_records/NE01.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Earlier controlled witness; scientific content retained,b6e17edd14e1c0ab49beeef4f224a1ba72e7a5b9bfe50d031a239356169e7bb7,Personal/infrastructure locators removed; scientific values retained,NE01.json
policy_records/NE02.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Earlier controlled witness; scientific content retained,c161f09cd8d468293452b2dfa55312a66f9ebacdd17e47a9dbedc781af670a86,Personal/infrastructure locators removed; scientific values retained,NE02.json
policy_records/NE03.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Earlier controlled witness; scientific content retained,ca9604e3dc69ca41cc553b424c8c05ca01a81c686b8bad503d1b3b09b454795d,Personal/infrastructure locators removed; scientific values retained,NE03.json
policy_records/NE04.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Earlier controlled witness; scientific content retained,d76598cb4e20e3c8e53143fe60fee4cc4cd18052e2fb44d53e1051927c2a3ed3,Personal/infrastructure locators removed; scientific values retained,NE04.json
policy_records/NE05.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Earlier controlled witness; scientific content retained,4b5c0e70ff4f4f41f97c4225e79036a4db97e7a1b22c5c37729b19d69c7c453d,Personal/infrastructure locators removed; scientific values retained,NE05.json
policy_records/NE06.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Earlier controlled witness; scientific content retained,9a6a6694fa72aa0aba86c06944815963d6db83c220acfc7cf9054473ce2c86b8,Personal/infrastructure locators removed; scientific values retained,NE06_RESUME_002.json
policy_records/NE07.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Earlier controlled witness; scientific content retained,e48d5a91818b7ac37ab1618eeb272acdcda8e533cc711f986f3750c0589e69b8,Personal/infrastructure locators removed; scientific values retained,NE07_RESUME_002.json
policy_records/VE00.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Earlier controlled witness; scientific content retained,72433ca9c68cd6bcd1fdb947f294b8d861cffd8e2c324ff2d29a1ee62ff4d417,Personal/infrastructure locators removed; scientific values retained,VE00_RESUME_002.json
policy_records/VE01.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Earlier controlled witness; scientific content retained,ab5379c831261a59c0a4210eb40e537d1ea90cf8ccfdd2c76b8f7a4ebfd79ee4,Personal/infrastructure locators removed; scientific values retained,VE01_RESUME_002.json
policy_records/VE02.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Earlier controlled witness; scientific content retained,f43a9d685bd66ab26b6968b55570cef0bc8e3f3f2f4c7a1123ce2b84fb961c6b,Personal/infrastructure locators removed; scientific values retained,VE02_RESUME_002.json
policy_records/VE03.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Earlier controlled witness; scientific content retained,62e54134826ce521028936550102a27b5bdea53646b8adf1b9b25d9f20f431e7,Personal/infrastructure locators removed; scientific values retained,VE03_RESUME_002.json
policy_records/VE04.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Earlier controlled witness; scientific content retained,cb1538803de89ba25662799dc6599cfac839463a37eb092e043fe25bd1a60a40,Personal/infrastructure locators removed; scientific values retained,VE04_RESUME_002.json
policy_records/VE05.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Earlier controlled witness; scientific content retained,8ec0956d364b2301a0ed2753b9265fd97b131ba9b6614ccae0ef0ff2549b3008,Personal/infrastructure locators removed; scientific values retained,VE05_RESUME_002.json
policy_records/VE06.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Earlier controlled witness; scientific content retained,ef6abef4c13a2ae2da34ba32c28d3b276821968dd3bc7850ea1a5932e8f92fb9,Personal/infrastructure locators removed; scientific values retained,VE06_RESUME_002.json
policy_records/VE07.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Earlier controlled witness; scientific content retained,21eb3a60ae7931ca366f2f3f1a67dec62ee8b3011759114cdac386183c2da329,Personal/infrastructure locators removed; scientific values retained,VE07_RESUME_002.json
policy_records/VE08.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Earlier controlled witness; scientific content retained,4c4ce2dfef6169b9e2d8f0ae3bfecd39abf2692cde9f497165ce85e0716f61dd,Personal/infrastructure locators removed; scientific values retained,VE08_RESUME_002.json
policy_records/VE09.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Earlier controlled witness; scientific content retained,1d8521ed80ec9f76132bb8272dacb7ba017d1feb40a4f8f4b6dbfcfab38c380b,Personal/infrastructure locators removed; scientific values retained,VE09_RESUME_002.json
policy_records/VE10.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Earlier controlled witness; scientific content retained,76bcdcb4613238eb10c809c0b08204bca645217ae511519a1922e95e0bc72f21,Personal/infrastructure locators removed; scientific values retained,VE10_RESUME_002.json
policy_records/VE11.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Earlier controlled witness; scientific content retained,013ea3efc57e8b69e14bf5121a340f0391794864c4dd202218439c07aaea58cc,Personal/infrastructure locators removed; scientific values retained,VE11_RESUME_002.json
corrections/compound_T2.md,REDACTED_PROJECTION_OF_RETAINED_RECORD,Original formula correction; no rerun,5c2398a1120659fe2f250919824b07944b82c17ec9ec562e9e4445e52cc863b2,Personal/infrastructure locators removed; scientific values retained,COMPOUND_T2_ANALYSIS_CORRECTION_001.md
corrections/vesta_review.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,"Exact implementation, original/derived classifications and binding error",6921d7c142371c6cbd298f44261c49f8c4b33610f0c5e4730cccce4c2433d49a,Personal/infrastructure locators removed; scientific values retained,VESTA_POST_EXECUTION_BINDING_AND_CLASSIFIER_REVIEW_001.json
