execution_id,path,transport,F_current,D_action_original,R_allowed,comparison_original,D_action_derived,comparison_derived,paper_usable,post_execution_review,execution_artifact,raw_trace_locator
NE04,NERITE_DUAL_FEED_MULTIPLICATIVE,PRIMARY_EXECUTION,true,RETURN_CURRENT_PRODUCT_FLAG_FALSE,RETURN_CURRENT_PRODUCT_FLAG_FALSE,COMPATIBLE,RETURN_CURRENT_PRODUCT_FLAG_FALSE,COMPATIBLE,true,NONE,[archival locator withheld],[archival locator withheld]
NE05,NERITE_DUAL_FEED_MULTIPLICATIVE,PRIMARY_EXECUTION,false,RETURN_LAST_GOOD_PRICE_FLAG_TRUE,RETURN_LAST_GOOD_PRICE_FLAG_TRUE,COMPATIBLE,RETURN_LAST_GOOD_PRICE_FLAG_TRUE,COMPATIBLE,true,NONE,[archival locator withheld],[archival locator withheld]
NE06,NERITE_DUAL_FEED_MULTIPLICATIVE,INFRASTRUCTURE_RESUMPTION_002,false,RETURN_LAST_GOOD_PRICE_FLAG_TRUE,RETURN_LAST_GOOD_PRICE_FLAG_TRUE,COMPATIBLE,RETURN_LAST_GOOD_PRICE_FLAG_TRUE,COMPATIBLE,true,NONE,[archival locator withheld],[archival locator withheld]
NE07,NERITE_DUAL_FEED_MULTIPLICATIVE,INFRASTRUCTURE_RESUMPTION_002,false,RETURN_LAST_GOOD_PRICE_FLAG_TRUE,RETURN_LAST_GOOD_PRICE_FLAG_TRUE,COMPATIBLE,RETURN_LAST_GOOD_PRICE_FLAG_TRUE,COMPATIBLE,true,NONE,[archival locator withheld],[archival locator withheld]
VE00,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,INFRASTRUCTURE_RESUMPTION_002,true,RETURN_CURRENT,RETURN_CURRENT,COMPATIBLE,RETURN_CURRENT,COMPATIBLE,true,NONE,[archival locator withheld],[archival locator withheld]
VE01,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,INFRASTRUCTURE_RESUMPTION_002,true,RETURN_CURRENT,RETURN_CURRENT,COMPATIBLE,RETURN_CURRENT,COMPATIBLE,true,NONE,[archival locator withheld],[archival locator withheld]
VE02,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,INFRASTRUCTURE_RESUMPTION_002,true,RETURN_CURRENT,RETURN_CURRENT,COMPATIBLE,RETURN_CURRENT,COMPATIBLE,true,NONE,[archival locator withheld],[archival locator withheld]
VE03,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,INFRASTRUCTURE_RESUMPTION_002,false,RETURN_MIXED_CURRENT_CACHED,RETURN_MIXED_CURRENT_CACHED,COMPATIBLE,RETURN_MIXED_CURRENT_CACHED,COMPATIBLE,true,NONE,[archival locator withheld],[archival locator withheld]
VE04,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,INFRASTRUCTURE_RESUMPTION_002,true,RETURN_CURRENT,RETURN_CURRENT,COMPATIBLE,RETURN_CURRENT,COMPATIBLE,true,NONE,[archival locator withheld],[archival locator withheld]
VE05,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,INFRASTRUCTURE_RESUMPTION_002,true,RETURN_CURRENT,RETURN_CURRENT,COMPATIBLE,RETURN_CURRENT,COMPATIBLE,true,NONE,[archival locator withheld],[archival locator withheld]
VE06,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,INFRASTRUCTURE_RESUMPTION_002,false,RETURN_CURRENT,RETURN_MIXED_CURRENT_CACHED,INCOMPATIBLE,RETURN_CURRENT,NOT_COMPARABLE_REFERENCE_BINDING_ERROR,false,"Frozen Vesta F/R incorrectly imposed the 14,400-second frozen-age predicate on the index leg. Exact deployed implementation PriceFeedV2 omits that predicate for the index leg. Original comparison is preserved but cannot be used as a deployed-policy incompatibility result.",[archival locator withheld],[archival locator withheld]
VE07,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,INFRASTRUCTURE_RESUMPTION_002,false,RETURN_MIXED_CURRENT_CACHED,RETURN_CACHED,INCOMPATIBLE,RETURN_MIXED_CURRENT_CACHED,NOT_COMPARABLE_REFERENCE_BINDING_ERROR,false,"Frozen Vesta F/R incorrectly imposed the 14,400-second frozen-age predicate on the index leg. Exact deployed implementation PriceFeedV2 omits that predicate for the index leg. Original comparison is preserved but cannot be used as a deployed-policy incompatibility result.",[archival locator withheld],[archival locator withheld]
VE08,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,INFRASTRUCTURE_RESUMPTION_002,false,RETURN_MIXED_CURRENT_CACHED,RETURN_MIXED_CURRENT_CACHED,COMPATIBLE,RETURN_MIXED_CURRENT_CACHED,COMPATIBLE,true,NONE,[archival locator withheld],[archival locator withheld]
VE09,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,INFRASTRUCTURE_RESUMPTION_002,false,RETURN_MIXED_CURRENT_CACHED,RETURN_MIXED_CURRENT_CACHED,COMPATIBLE,RETURN_MIXED_CURRENT_CACHED,COMPATIBLE,true,NONE,[archival locator withheld],[archival locator withheld]
VE10,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,INFRASTRUCTURE_RESUMPTION_002,"{""step_1"":{""current"":true,""perInput"":{""price"":true,""index"":true},""source"":""independent frozen input-obligation evaluator""},""step_2"":{""current"":false,""perInput"":{""price"":false,""index"":true},""source"":""independent frozen input-obligation evaluator""}}",SEQUENCE_OTHER,NORMAL_TO_DEGRADED_TRANSITION,INCOMPATIBLE,NORMAL_TO_DEGRADED_TRANSITION,COMPATIBLE_AFTER_ACTION_CLASSIFIER_CORRECTION,true,"The step-2 numeric return collided with the current-product value because VE10.1 had set both caches to the controlled value. The frozen trace shows price latestRoundData reverted, index calls succeeded, and status changed 0 to 1. The original value-first classifier therefore mislabeled mixed cached/current provenance as RETURN_CURRENT.",[archival locator withheld],[archival locator withheld]
VE11,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,INFRASTRUCTURE_RESUMPTION_002,true,DEGRADED_TO_RECOVERY_TRANSITION,DEGRADED_TO_RECOVERY_TRANSITION,COMPATIBLE,DEGRADED_TO_RECOVERY_TRANSITION,COMPATIBLE,true,NONE,[archival locator withheld],[archival locator withheld]
